Metrics,Triples,Average Time (ms)
Jena,3.993920959,1.86923172
Jena,4.410439786,2.096910013
Jena,4.708344403,2.36361198
Jena,4.880870733,2.530199698
Jena,4.99577555,2.630427875
Jena,5.400413641,3.022428371
Jena,5.70242709,3.339053736
Jena,5.877730613,3.509874285
Jena,5.99998784,3.626648268
Jena,7.000498588,4.636918968
Jena,7.395070092,5.033343323
Jena,7.995450365,5.731683027
Spark,3.993920959,2.95616843
Spark,4.410439786,2.951823035
Spark,4.708344403,3.175511813
Spark,4.880870733,3.221674997
Spark,4.99577555,3.221153322
Spark,5.400413641,3.503245771
Spark,5.70242709,3.77633791
Spark,5.877730613,3.831677849
Spark,5.99998784,4.020071104
Spark,7.000498588,4.89173254
Spark,7.395070092,5.278559268
Spark,7.995450365,5.877119566
