Metrics,Triples,Average Time (ms)
0,3.993920959,1.86923172
0,4.410439786,2.096910013
0,4.708344403,2.36361198
0,4.880870733,2.530199698
0,4.99577555,2.630427875
0,5.400413641,3.022428371
0,5.70242709,3.339053736
0,5.877730613,3.509874285
0,5.99998784,3.626648268
0,7.000498588,4.636918968
0,7.395070092,5.033343323
0,7.995450365,5.731683027
1,3.993920959,1.755874856
1,4.410439786,2.201397124
1,4.708344403,2.432969291
1,4.880870733,2.587710965
1,4.99577555,2.693726949
1,5.400413641,3.106530854
1,5.70242709,3.405175546
1,5.877730613,3.594944737
1,5.99998784,3.722716167
1,7.000498588,4.713994268
1,7.395070092,5.098522591
1,7.995450365,5.771971636
2,3.993920959,1.857332496
2,4.410439786,2.326335861
2,4.708344403,2.558708571
2,4.880870733,2.699837726
2,4.99577555,2.830588669
2,5.400413641,3.210853365
2,5.70242709,3.51401618
2,5.877730613,3.689841409
2,5.99998784,3.810904281
2,7.000498588,4.812920038
2,7.395070092,5.216242458
2,7.995450365,5.830388475
3,3.993920959,2.064457989
3,4.410439786,2.515873844
3,4.708344403,2.751279104
3,4.880870733,3.003460532
3,4.99577555,3.13289977
3,5.400413641,3.572871602
3,5.70242709,3.865281685
3,5.877730613,4.037227235
3,5.99998784,4.164144582
3,7.000498588,5.165490643
3,7.395070092,5.565795889
3,7.995450365,6.189851467
4,3.993920959,2.678518379
4,4.410439786,3.02201574
4,4.708344403,3.235528447
4,4.880870733,3.268811904
4,4.99577555,3.408918021
4,5.400413641,3.745152895
4,5.70242709,4.007662447
4,5.877730613,4.192846115
4,5.99998784,4.334353208
4,7.000498588,5.257152784
4,7.395070092,5.616816724
4,7.995450365,6.26805257
5,3.993920959,3.126456113
5,4.410439786,3.323045735
5,4.708344403,3.563599729
5,4.880870733,3.712902125
5,4.99577555,3.788026884
5,5.400413641,4.17312797
5,5.70242709,4.449925577
5,5.877730613,4.622203658
5,5.99998784,4.754111244
5,7.000498588,5.326262107
5,7.395070092,5.679612296
5,7.995450365,6.313688617
6,3.993920959,3.29907126
6,4.410439786,3.549003262
6,4.708344403,3.768786047
6,4.880870733,3.923503067
6,4.99577555,4.017575868
6,5.400413641,4.392450725
6,5.70242709,4.680362713
6,5.877730613,4.853260047
6,5.99998784,4.976019661
6,7.000498588,5.348386651
6,7.395070092,5.759444976
6,7.995450365,6.436488961
7,3.993920959,3.304921162
7,4.410439786,3.535926741
7,4.708344403,3.809290301
7,4.880870733,3.947188566
7,4.99577555,4.031973689
7,5.400413641,4.406829614
7,5.70242709,4.708675793
7,5.877730613,4.869349081
7,5.99998784,4.992120333
7,7.000498588,5.494481584
7,7.395070092,5.872959412
7,7.995450365,6.527523569
8,3.993920959,3.295127085
8,4.410439786,3.562411833
8,4.708344403,3.810232518
8,4.880870733,3.96722026
8,4.99577555,4.069038765
8,5.400413641,4.431347679
8,5.70242709,4.712380288
8,5.877730613,4.891810548
8,5.99998784,5.006654267
8,7.000498588,5.500664519
8,7.395070092,5.877091326
9,3.993920959,3.35545152
9,4.410439786,3.596377144
9,4.708344403,3.842858762
9,4.880870733,3.988737275
9,4.99577555,4.058198188
9,5.400413641,4.446117581
9,5.70242709,4.740607405
9,5.877730613,4.898670343
9,5.99998784,5.022193219
9,7.000498588,5.504347149
9,7.395070092,5.913818619
9,7.995450365,6.568831112
